id,name,alias,collegeDataUrl,collegeDataId
3469,University of Sioux Falls,,University-of-Sioux-Falls,721.0
3921,University of Wisconsin--Platteville,University of Wisconsin Platteville,University-of-Wisconsin-Platteville,1699.0
1061,Alaska Pacific University,,Alaska-Pacific-University,640.0
3208,Bushnell University,,,
1183,Holy Names University,,Holy-Names-University,713.0
1972,Lindsey Wilson College,,Lindsey-Wilson-College,281.0
2021,Northwestern State University of Louisiana,,Northwestern-State-University-of-Louisiana,1609.0
3422,Southern Wesleyan University,,Southern-Wesleyan-University,1454.0
3764,Virginia State University,,Virginia-State-University,1569.0
3243,Cedar Crest College,,Cedar-Crest-College,216.0
1425,Eastern Connecticut State University,,Eastern-Connecticut-State-University,455.0
2140,Elms College,,Elms-College,411.0
2189,Westfield State University,,Westfield-State-University,214.0
3399,York College of Pennsylvania,,York-College-of-Pennsylvania,247.0
1365,Colorado State University--Pueblo,Colorado State University Pueblo Colorado State University Pueblo,Colorado-State-University-Pueblo,1144.0
2336,Bemidji State University,,Bemidji-State-University,302.0
1665,Columbia College Chicago,,Columbia-College-Chicago,336.0
2347,Concordia University--St. Paul,Concordia University St Paul Concordia University Saint Paul Concordia University St. Paul,Concordia-University-St-Paul,343.0
2367,Minnesota State University--Moorhead,Minnesota State University Moorhead Minnesota State University Moorhead,Minnesota-State-University-Moorhead,961.0
2005,Nicholls State University,,Nicholls-State-University,1085.0
1926,Pittsburg State University,,Pittsburg-State-University,763.0
1291,Simpson University,,Simpson-University,725.0
3446,South Carolina State University,,South-Carolina-State-University,1644.0
3527,Tusculum University,,,
12826,University of Houston--Downtown,University of Houston Downtown,University-of-Houston-Downtown,871.0
1808,University of Southern Indiana,,University-of-Southern-Indiana,1742.0
2566,Wayne State College,,Wayne-State-College,930.0
2122,Bay Path University,,,
2703,College of Mount St. Vincent,College of Mount St Vincent College of Mount Saint Vincent,College-of-Mount-St-Vincent,260.0
1358,Colorado Mesa University,,Colorado-Mesa-University,1108.0
3935,University of Guam,,University-of-Guam,3726.0
2883,Utica College,,Utica-College,173.0
2625,William Paterson University of New Jersey,,,
3810,Concord University,,Concord-University,1469.0
3812,Fairmont State University,,Fairmont-State-University,890.0
3541,Angelo State University,,Angelo-State-University,909.0
3193,Eastern Oregon University,,Eastern-Oregon-University,644.0
3485,Cumberland University,,Cumberland-University,1221.0
2024,Southeastern Louisiana University,,Southeastern-Louisiana-University,1648.0
1107,Southern Arkansas University,,Southern-Arkansas-University,856.0
9636,Southern University and A&M College,,,
1024,University of West Alabama,,University-of-West-Alabama,1511.0
3404,Johnson & Wales University,,,
2778,Mount St. Mary College,Mount St Mary College Mount Saint Mary College,Mount-St-Mary-College,258.0
3326,Shippensburg University of Pennsylvania,,Shippensburg-University-of-Pennsylvania,53.0
2249,Davenport University,,Davenport-University,2040.0
1918,Friends University,,Friends-University,1209.0
1684,Greenville University,,,
1700,Judson University,,Judson-University,959.0
2377,St. Cloud State University,St Cloud State University Saint Cloud State University,St-Cloud-State-University,905.0
3923,University of Wisconsin--River Falls,University of Wisconsin River Falls,University-of-Wisconsin-River-Falls,1698.0
1374,Albertus Magnus College,,Albertus-Magnus-College,9.0
3233,Alvernia University,,Alvernia-University,14.0
2183,Bridgewater State University,,Bridgewater-State-University,158.0
1378,Central Connecticut State University,,Central-Connecticut-State-University,220.0
2184,Fitchburg State University,,Fitchburg-State-University,249.0
3325,Millersville University of Pennsylvania,,Millersville-University-of-Pennsylvania,215.0
1959,Campbellsville University,,Campbellsville-University,1446.0
2017,McNeese State University,,McNeese-State-University,1493.0
1975,Midway University,,,
1521,Southeastern University,,Southeastern-University,1650.0
