id,name,alias
1556,Brenau University,
2453,Central Methodist University -- College of Liberal Arts and Sciences,
3430,Columbia College (SC),
3431,Converse College,
1563,Emmanuel College (GA),
2941,Lenoir-Rhyne University,Lenoir Rhyne University
39803,California State University--Channel Islands,California State University Channel Islands
30113,California State University--San Marcos,Cal State University San Marcos California State University San Marcos
1253,Fresno Pacific University,
3571,Hardin-Simmons University,Hardin Simmons University
1929,Kansas Wesleyan University,
1735,North Park University,
1033,Oakwood University,
1835,Saint Mary-of-the-Woods College,St Mary-of-the-Woods College Saint Mary-of-the-Woods College St Mary of the Woods College Saint Mary of the Woods College St. Mary of the Woods College St. Mary of the Woods College
3588,University of Mary Hardin-Baylor,University of Mary Hardin Baylor
2388,University of Minnesota Duluth,University of Minnesota Duluth
3917,University of Wisconsin--Eau Claire,University of Wisconsin Eau Claire
2394,Winona State University,
2567,York College,
1103,Philander Smith College,
3813,Glenville State University,
3287,La Salle University,LaSalle University
1945,Sterling College (KS),
2668,Alfred University,
3418,Anderson University,
3235,Arcadia University,
3478,Austin Peay State University,
2693,CUNY--John Jay College of Criminal Justice,CUNY John Jay College of Criminal Justice CUNY John Jay College of Criminal Justice
8770,Fairleigh Dickinson University,FDU
3296,Marywood University,
7728,Middle Georgia State University,
2422,Mississippi University for Women,
2086,Mount St. Mary's University,Mount St Mary's University Mount Saint Mary's University Mount St Marys University Mount Saint Marys University Mount St. Marys University
2951,North Carolina Wesleyan College,
1047,Troy University,
1597,Truett McConnell University,
3008,Valley City State University,
2293,Lake Superior State University,
2308,Olivet College,
21854,St. Augustine College,St Augustine College Saint Augustine College
1785,Anderson University (IN),
1787,Bethel University (IN),
1150,California State University--Sacramento,Cal State University Sacramento Sac State California State University Sacramento Sacramento State
3771,Central Washington University,
3165,Oklahoma Christian University,
2371,University of Northwestern--St. Paul,
1293,Vanguard University of Southern California,
3943,University of Puerto Rico--Humacao,University of Puerto Rico Humacao
3809,Bluefield State College,
